구명칭,현행명칭,변경시점,등급,직무
가구도장기능사,건축도장기능사,,기능사,건설
가스용접기능사,피복아크용접기능사,,기능사,재료
객화차정비기능사,철도차량정비기능사,,기능사,기계
객화차정비산업기사,철도차량산업기사,,산업기사,기계
건설기계기관정비기능사,건설기계정비기능사,,기능사,기계
건설기계기사,건설기계설비기사,,기사,기계
건설기계산업기사,건설기계설비산업기사,,산업기사,기계
건설기계차체정비기능사,건설기계정비기능사,,기능사,기계
건축배관기능사,배관기능사,,기능사,건설
건축배관설비기능사,배관기능사,,기능사,건설
건축제도기능사,전산응용건축제도기능사,,기능사,건설
계량기계기능사,정밀측정기능사,,기능사,기계
계량기계산업기사,정밀측정산업기사,,산업기사,기계
계량물리기능사,정밀측정기능사,,기능사,기계
계량물리산업기사,정밀측정산업기사,,산업기사,기계
계량전기기능사,정밀측정기능사,,기능사,기계
계량전기산업기사,정밀측정산업기사,,산업기사,기계
고분자제품기술사,화공기술사,,기술사,화학
공업계측제어기술사,산업계측제어기술사,,기술사,전기.전자
공업배관기능사,배관기능사,,기능사,건설
공업화학기사,화공기사,,기사,화학
공업화학기술사,화공기술사,,기술사,화학
공유압기능사,설비보전기능사,,기능사,기계
공정관리기사,품질경영기사,,기사,경영.회계.사무
공정관리산업기사,품질경영산업기사,,산업기사,경영.회계.사무
과수재배기능사,원예기능사,,기능사,농림어업
광산보안기능사(기계),광산보안기능사,,기능사,광업자원
광산보안기능사(전기),광산보안기능사,,기능사,광업자원
광산보안기능사(채광),광산보안기능사,,기능사,광업자원
광산보안기능사(화약),광산보안기능사,,기능사,광업자원
광산차량기계운전기능사,광산보안기능사,,기능사,광업자원
광산환경기능사,환경기능사,,기능사,환경.에너지
굴삭기운전기능사,굴착기운전기능사,,기능사,건설
금속기사,금속재료기사,,기사,재료
금속기사(가공분야),금속재료기사,,기사,재료
금속기사(재료분야),금속재료기사,,기사,재료
금속기사(제련분야),금속재료기사,,기사,재료
금형제작기능장,금형기능장,,기능장,기계
기계가공조립산업기사,기계조립산업기사,,산업기사,기계
기계공정설계기사,일반기계기사,,기사,기계
기계공정설계기술사,기계기술사,,기술사,기계
기계설계기사,일반기계기사,,기사,기계
기계정비기능사,설비보전기능사,,기능사,기계
기계정비산업기사,설비보전산업기사,,산업기사,기계
기계제도기능사,전산응용기계제도기능사,,기능사,기계
기계제작기술사,기계기술사,,기술사,기계
기계조립기능사,기계가공조립기능사,,기능사,기계
냉간압연기능사,압연기능사,,기능사,재료
농기계정비기능사,농업기계정비기능사,,기능사,기계
농림토양평가관리기사,토양환경기사,,기사,환경.에너지
농산식품가공기능사,식품가공기능사,,기능사,식품.가공
도자기공예기능사,도자공예기능사,,기능사,인쇄.목재.가구.공예
동력기계정비기능사,선박기관정비기능사,,기능사,기계
로우더운전기능사,로더운전기능사,,기능사,건설
로울러운전기능사,롤러운전기능사,,기능사,건설
메카트로닉스기능사,자동화설비기능사,,기능사,기계
메카트로닉스산업기사,자동화설비산업기사,,산업기사,기계
모우터그레이더운전기능사,롤러운전기능사,,기능사,건설
모터그레이더운전기능사,롤러운전기능사,,기능사,건설
목재가공기능사,펄프종이제조기능사,,기능사,농림어업
목재창호기능사,건축목공기능사,,기능사,건설
목질재료기능사,목재가공기능사,,기능사,농림어업
목질재료기능사,펄프종이제조기능사,,기능사,농림어업
미용사,미용사(일반),,기능사,이용.숙박.여행.오락.스포츠
밀링기능사,컴퓨터응용밀링기능사,,기능사,기계
반도체설계산업기사,반도체커스텀레이아웃산업기사,,산업기사,전기.전자
반도체장비유지보수기능사,반도체설비보전기능사,,기능사,기계
방사기사,섬유기사,,기사,섬유.의복
"방사기사(시행만, 섬유기계기사로 통합)",섬유기사,,기사,섬유.의복
방사기술사,섬유기술사,,기술사,섬유.의복
방사산업기사,섬유산업기사,,산업기사,섬유.의복
방적기술사,섬유기술사,,기술사,섬유.의복
방직기사,섬유기사,,기사,섬유.의복
"방직기사(시행만, 섬유기계기사로 통합)",섬유기사,,기사,섬유.의복
방직산업기사,섬유산업기사,,산업기사,섬유.의복
배관설비산업기사,배관산업기사,,산업기사,건설
보선기능사,철도토목기능사,,기능사,건설
보일러기능사,에너지관리기능사,,기능사,기계
보일러기능장,에너지관리기능장,,기능장,환경.에너지
보일러산업기사,에너지관리산업기사,,산업기사,기계
보일러시공기능사,에너지관리기능사,,기능사,기계
보일러취급기능사,에너지관리기능사,,기능사,기계
불도우저운전기능사,불도저운전기능사,,기능사,건설
비철야금기술사,금속제련기술사,,기술사,재료
사진제판기능사,인쇄기능사,,기능사,인쇄.목재.가구.공예
사출금형기능사,금형기능사,,기능사,기계
사출금형설계기사,사출금형기사,,기사,기계
산림경영기사,산림기사,,기사,농림어업
산림경영산업기사,산림산업기사,,산업기사,소방설비
산림공학기사,산림기사,,기사,농림어업
산림공학산업기사,산림산업기사,,산업기사,농림어업
산업기계기술사,산업기계설비기술사,,기술사,기계
생물공학기사,바이오화학제품제조기사,,기사,화학
생물분류기사,생물분류기사(동물),,기사,환경.에너지
생물분류기사,생물분류기사(식물),,기사,환경.에너지
생산기계산업기사,컴퓨터응용가공산업기사,,산업기사,기계
생산자동화기능사,자동화설비기능사,,기능사,기계
생산자동화산업기사,자동화설비산업기사,,산업기사,기계
선박건조기술사,조선기술사,,기술사,기계
선박기계기술사,조선기술사,,기술사,기계
선박설계기술사,조선기술사,,기술사,기계
선반기능사,컴퓨터응용선반기능사,,기능사,기계
선체의장기능사,선체건조기능사,,기능사,기계
섬유가공산업기사,섬유산업기사,,산업기사,섬유.의복
섬유공정기술사,섬유기술사,,기술사,섬유.의복
섬유기계산업기사,섬유산업기사,,산업기사,섬유.의복
섬유물리기사,섬유기사,,기사,섬유.의복
섬유물리산업기사,섬유산업기사,,산업기사,섬유.의복
섬유화학기사,섬유기사,,기사,섬유.의복
섬유화학산업기사,섬유산업기사,,산업기사,섬유.의복
소방설비기사,소방설비기사(기계분야),,기사,안전관리
소방설비기사,소방설비기사(전기분야),,기사,안전관리
소방설비기술사,소방기술사,,기술사,안전관리
소방설비산업기사,소방설비산업기사(기계분야),,산업기사,안전관리
소방설비산업기사,소방설비산업기사(전기분야),,산업기사,안전관리
수산식품가공기능사,식품가공기능사,,기능사,식품.가공
